date,value,up&down,10,20,30,60
2022-06-30,0.9328,3.92,0.8847299999999999,0.8561699999999999,0.8290833333333333,0.7946433333333333
2022-07-01,0.9254,-0.79,0.8914799999999999,0.8623349999999999,0.83483,0.7977799999999999
2022-07-04,0.9209,-0.49,0.89611,0.8677100000000001,0.8393833333333334,0.8005266666666667
2022-07-05,0.9139,-0.76,0.9004199999999999,0.8720649999999999,0.84406,0.8033033333333334
2022-07-06,0.889,-2.72,0.90345,0.8744549999999999,0.84846,0.8056716666666667
2022-07-07,0.8861,-0.33,0.90544,0.87744,0.8528300000000001,0.8080533333333334
2022-07-08,0.892,0.67,0.90659,0.88017,0.8573133333333334,0.8110683333333333
2022-07-11,0.8721,-2.23,0.90364,0.8827450000000001,0.8610633333333333,0.8130333333333334
2022-07-12,0.8645,-0.87,0.8994300000000001,0.8844799999999999,0.8636266666666667,0.8148783333333334
2022-07-13,0.8693,0.56,0.8966000000000001,0.885915,0.8655066666666666,0.8161816666666667
2022-07-14,0.863,-0.72,0.8896200000000001,0.8871749999999998,0.86732,0.8174949999999999
2022-07-15,0.8651,0.24,0.8835900000000001,0.8875350000000001,0.86942,0.818885
2022-07-18,0.8599,-0.6,0.8774900000000001,0.8868,0.8709699999999999,0.8203166666666667
2022-07-19,0.8619,0.23,0.8722899999999999,0.886355,0.87214,0.82166
2022-07-20,0.8672,0.61,0.87011,0.8867799999999999,0.8730066666666667,0.8233066666666667
2022-07-21,0.8575,-1.12,0.86725,0.886345,0.8740433333333333,0.82474
2022-07-22,0.854,-0.41,0.8634499999999999,0.8850199999999999,0.8745966666666668,0.82681
2022-07-25,0.8625,1.0,0.86249,0.883065,0.8759933333333333,0.828815
2022-07-26,0.8713,1.02,0.86317,0.8812999999999999,0.8773766666666667,0.8306766666666666
2022-07-27,0.8564,-1.71,0.86188,0.8792399999999999,0.8779033333333334,0.8319966666666666
2022-07-28,0.8521,-0.5,0.86079,0.875205,0.87838,0.8331633333333333
2022-07-29,0.8264,-3.02,0.85692,0.8702549999999999,0.87733,0.8338716666666667
2022-08-01,0.8393,1.56,0.8548600000000001,0.8661749999999999,0.8761533333333332,0.8353316666666667
2022-08-02,0.8259,-1.6,0.8512599999999999,0.8617750000000001,0.8746566666666666,0.8368016666666667
2022-08-03,0.8233,-0.31,0.84687,0.8584900000000001,0.8734766666666667,0.83802
2022-08-04,0.8394,1.96,0.8450599999999999,0.8561549999999999,0.8725833333333334,0.8393099999999999
2022-08-05,0.8431,0.44,0.84397,0.8537099999999999,0.8713366666666666,0.8405333333333332
2022-08-08,0.8378,-0.63,0.8415000000000001,0.851995,0.8692100000000001,0.8417100000000001
2022-08-09,0.8377,-0.01,0.8381400000000001,0.850655,0.8669133333333333,0.84297
2022-08-10,0.8258,-1.42,0.8350799999999999,0.84848,0.8645200000000001,0.8439333333333333
2022-08-11,0.8395,1.66,0.83382,0.8473050000000001,0.86141,0.8452466666666666
2022-08-12,0.8486,1.08,0.83604,0.84648,0.85885,0.84684
2022-08-15,0.8403,-0.98,0.83614,0.8455,0.8561633333333333,0.8477733333333333
2022-08-16,0.8348,-0.65,0.83703,0.8441450000000001,0.8535266666666667,0.8487933333333334
2022-08-17,0.8414,0.79,0.83884,0.8428550000000001,0.85194,0.8502
2022-08-18,0.8272,-1.69,0.8376199999999999,0.84134,0.8499766666666667,0.8514033333333334
2022-08-19,0.8246,-0.31,0.8357699999999999,0.83987,0.8477300000000001,0.8525216666666666
2022-08-22,0.8272,0.32,0.8347100000000001,0.838105,0.8462333333333334,0.8536483333333335
2022-08-23,0.8142,-1.57,0.8323600000000001,0.8352499999999999,0.8445566666666667,0.8540916666666667
2022-08-24,0.8082,-0.74,0.8306000000000001,0.83284,0.84252,0.8540133333333333
2022-08-25,0.826,2.2,0.82925,0.831535,0.8412866666666666,0.8543033333333334
2022-08-26,0.8378,1.43,0.8281700000000001,0.832105,0.8403766666666667,0.8548983333333333
2022-08-29,0.8272,-1.27,0.8268599999999999,0.8314999999999999,0.8392866666666667,0.8551283333333334
2022-08-30,0.8234,-0.46,0.8257200000000001,0.8313750000000001,0.8380033333333333,0.8550716666666667
2022-08-31,0.8402,2.04,0.8256,0.8322200000000001,0.8371033333333333,0.855055
2022-09-01,0.8256,-1.74,0.8254400000000001,0.8315300000000001,0.8360400000000001,0.8550416666666666
2022-09-02,0.8122,-1.62,0.8241999999999999,0.829985,0.8346466666666666,0.8546216666666667
2022-09-05,0.7949,-2.13,0.82097,0.8278399999999999,0.8323933333333334,0.8541933333333334
2022-09-06,0.7998,0.62,0.81953,0.8259450000000002,0.83001,0.8536933333333333
2022-09-07,0.7894,-1.3,0.8176500000000001,0.8241249999999999,0.8277766666666666,0.85284
2022-09-08,0.7915,0.27,0.8141999999999999,0.821725,0.8257566666666667,0.8520683333333333
2022-09-09,0.8007,1.16,0.81049,0.8193300000000001,0.8249,0.851115
2022-09-13,0.8127,1.5,0.8090399999999999,0.8179500000000001,0.8240133333333334,0.8500833333333333
2022-09-14,0.8045,-1.01,0.80715,0.816435,0.8233,0.8489783333333334
2022-09-15,0.8097,0.65,0.8041,0.8148500000000001,0.8228466666666667,0.8481616666666666
2022-09-16,0.7906,-2.36,0.8006,0.8130200000000001,0.8212200000000001,0.8469016666666666
2022-09-19,0.8002,1.21,0.7994,0.8118000000000001,0.8197899999999999,0.8455633333333333
2022-09-20,0.813,1.6,0.80121,0.8110899999999999,0.8189633333333333,0.8440866666666665
2022-09-21,0.8038,-1.13,0.8016099999999999,0.81057,0.8178333333333333,0.8423733333333333
2022-09-22,0.7918,-1.49,0.80185,0.80975,0.8166999999999999,0.84061
2022-09-23,0.7961,0.54,0.80231,0.808255,0.8152533333333333,0.8383316666666667
2022-09-26,0.8086,1.57,0.8030999999999999,0.8067949999999999,0.81392,0.836385
2022-09-27,0.8368,3.49,0.80551,0.8072750000000001,0.8138033333333333,0.8349833333333333
2022-09-28,0.8308,-0.72,0.8081400000000001,0.807645,0.81367,0.8335983333333333
2022-09-29,0.8279,-0.35,0.8099599999999999,0.8070299999999999,0.8132199999999999,0.8325800000000001
2022-09-30,0.8246,-0.4,0.81336,0.80698,0.8131333333333333,0.8315549999999999
2022-10-10,0.7804,-5.36,0.81138,0.80539,0.8116599999999999,0.829695
2022-10-11,0.7818,0.18,0.80826,0.804735,0.8101466666666667,0.8281899999999999
2022-10-12,0.7767,-0.65,0.80555,0.80358,0.8088966666666667,0.8267266666666667
2022-10-13,0.7647,-1.54,0.80284,0.8023450000000001,0.8074466666666666,0.8249833333333334
2022-10-14,0.7825,2.33,0.80148,0.801895,0.8059966666666667,0.8236416666666667
2022-10-17,0.7709,-1.48,0.79771,0.8004049999999999,0.8037666666666666,0.8220716666666666
2022-10-18,0.7658,-0.66,0.79061,0.79806,0.80172,0.8205033333333334
2022-10-19,0.7417,-3.15,0.7817000000000001,0.7949200000000001,0.7989966666666667,0.8185000000000001
2022-10-20,0.7487,0.94,0.77378,0.79187,0.7959466666666667,0.8165250000000001
2022-10-21,0.7378,-1.46,0.7651,0.78923,0.79302,0.81453
2022-10-24,0.6943,-5.9,0.7564900000000001,0.7839349999999999,0.7890900000000001,0.8118683333333333
2022-10-25,0.6932,-0.16,0.74763,0.777945,0.7857,0.8090466666666667
2022-10-26,0.694,0.12,0.73936,0.772455,0.7821733333333333,0.8060916666666668
2022-10-27,0.663,-4.47,0.72919,0.766015,0.7779600000000001,0.8028683333333333
2022-10-28,0.6581,-0.74,0.71675,0.7591150000000001,0.7735133333333333,0.7996350000000001
